username,repository_name,stars,repository_url
bitcoin,bitcoin,82700,https://github.com/bitcoin/bitcoin
freqtrade,freqtrade,37700,https://github.com/freqtrade/freqtrade
ccxt,ccxt,35400,https://github.com/ccxt/ccxt
bitcoinbook,bitcoinbook,24200,https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18500,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,14000,https://github.com/solana-labs/solana
bbfamily,abu,13300,https://github.com/bbfamily/abu
hummingbot,hummingbot,12100,https://github.com/hummingbot/hummingbot
UFund-Me,Qbot,10900,https://github.com/UFund-Me/Qbot
askmike,gekko,10100,https://github.com/askmike/gekko
getumbrel,umbrel,8600,https://github.com/getumbrel/umbrel
dvf,blockchain,7900,https://github.com/dvf/blockchain
lightningnetwork,lnd,7900,https://github.com/lightningnetwork/lnd
spesmilo,electrum,7800,https://github.com/spesmilo/electrum
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
yeasy,blockchain_guide,6900,https://github.com/yeasy/blockchain_guide
btcpayserver,btcpayserver,6700,https://github.com/btcpayserver/btcpayserver
btcsuite,btcd,6400,https://github.com/btcsuite/btcd
jesse-ai,jesse,6200,https://github.com/jesse-ai/jesse
bitcoinjs,bitcoinjs-lib,5800,https://github.com/bitcoinjs/bitcoinjs-lib
