username,repository_name,stars,repository_url
localstack,localstack,58300,https://github.com/localstack/localstack
harness,harness,32600,https://github.com/harness/harness
jenkinsci,jenkins,23800,https://github.com/jenkinsci/jenkins
milanm,DevOps-Roadmap,15400,https://github.com/milanm/DevOps-Roadmap
auchenberg,volkswagen,15000,https://github.com/auchenberg/volkswagen
dagger,dagger,13400,https://github.com/dagger/dagger
openshift,origin,8500,https://github.com/openshift/origin
concourse,concourse,7500,https://github.com/concourse/concourse
gocd,gocd,7200,https://github.com/gocd/gocd
Flagsmith,flagsmith,5600,https://github.com/Flagsmith/flagsmith
buildbot,buildbot,5300,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
TheLartians,ModernCppStarter,4700,https://github.com/TheLartians/ModernCppStarter
ovh,cds,4700,https://github.com/ovh/cds
jenkins-x,jx,4600,https://github.com/jenkins-x/jx
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
JamesIves,github-pages-deploy-action,4400,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,4400,https://github.com/werf/werf
SamKirkland,FTP-Deploy-Action,4200,https://github.com/SamKirkland/FTP-Deploy-Action
iterative,cml,4100,https://github.com/iterative/cml
